,object_number,url,valid_link,image_link,seen
5545,PC 20160003,https://opencontext.org/subjects/865b08a6-5e16-442c-ae02-cec1721d38e5,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160003.jpg,True
5546,PC 20160004,https://opencontext.org/subjects/a86b658e-7964-485f-8026-e8d2fdd5e345,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160004.jpg,True
5547,PC 20160006,https://opencontext.org/subjects/f48340c0-7e0d-4f60-b276-36e69de8e561,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160006.jpg,True
5548,PC 20160007,https://opencontext.org/subjects/9d361d5d-6083-4c4b-8e74-76e5fedd4dc0,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160007a.jpg,True
5549,PC 20160009,https://opencontext.org/subjects/e7706482-d525-47b2-8e7e-6f7487bd8fb4,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160009a.jpg,True
5550,PC 20160018,https://opencontext.org/subjects/3c6817ac-fc98-43bb-87a6-14cf30459b02,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160018.jpg,True
5551,PC 20160026,https://opencontext.org/subjects/a53072cb-a2cb-4d2c-95e4-c1489b9969b4,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160026.jpg,True
5552,PC 20160028,https://opencontext.org/subjects/2907fc6d-1930-4d22-bdc0-cd7662ff5aed,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160028.jpg,True
5553,PC 20160030,https://opencontext.org/subjects/a391e0fb-9215-4e01-bbc5-cb16126bd8e6,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160030.jpg,True
5554,PC 20160043,https://opencontext.org/subjects/135af726-8d49-4864-abf3-1c0236e58576,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160043a.jpg,True
5555,PC 20160045,https://opencontext.org/subjects/d673aa97-0560-47ca-9756-0c935bdf62c1,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160045.jpg,True
5556,PC 20160046,https://opencontext.org/subjects/10c22d1b-baa0-4361-b545-5086f0dd0dc4,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160046.jpg,True
5557,PC 20160048,https://opencontext.org/subjects/65e785c3-c0a9-4723-b2f6-d784926f3ce5,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160048a.jpg,True
5558,PC 20160059,https://opencontext.org/subjects/b75583a5-3b8e-45bc-8d8e-ddd2e094ec77,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160059.jpg,True
